word_form,part_of_speech,lemgram,compound,raw_frequency,relative_frequency
these,DT,__UNDEF__,+,354,476.263511
knew,VBD,__UNDEF__,+,353,474.918134
turned,VBD,__UNDEF__,+,352,473.572757
felt,VBD,__UNDEF__,+,351,472.22738
few,DT,__UNDEF__,+,349,469.536625
as_if,CC,__UNDEF__,+,346,465.500494
Oh,NP,__UNDEF__,+,345,464.155117
quite,RB,__UNDEF__,+,344,462.809739
next,JJ,__UNDEF__,+,343,461.464362
Pooh,NP,__UNDEF__,+,337,453.392099
Harriet,NP,__UNDEF__,+,334,449.355968
moment,NN,__UNDEF__,+,331,445.319837
away,RP,__UNDEF__,+,330,443.974459
heard,VBD,__UNDEF__,+,330,443.974459
whole,JJ,__UNDEF__,+,328,441.283705
long,RB,__UNDEF__,+,328,441.283705
want,VBP,__UNDEF__,+,327,439.938328
around,IN,__UNDEF__,+,326,438.592951
life,NN,__UNDEF__,+,325,437.247574
gone,VBN,__UNDEF__,+,325,437.247574
children,NNS,__UNDEF__,+,324,435.902196
seemed,VBD,__UNDEF__,+,324,435.902196
father,NN,__UNDEF__,+,324,435.902196
years,NNS,__UNDEF__,+,315,423.793802
days,NNS,__UNDEF__,+,314,422.448425
At,IN,__UNDEF__,+,314,422.448425
No,DT,__UNDEF__,+,305,410.340031
let,VB,__UNDEF__,+,304,408.994653
of,__UNDEF__,__UNDEF__,+,299,402.267768
each,DT,__UNDEF__,+,296,398.231636
side,NN,__UNDEF__,+,294,395.540882
family,NN,__UNDEF__,+,289,388.813996
behind,IN,__UNDEF__,+,288,387.468619
forest,NN,__UNDEF__,+,287,386.123242
may,MD,__UNDEF__,+,287,386.123242
After,IN,__UNDEF__,+,286,384.777865
away,RB,__UNDEF__,+,286,384.777865
look,VB,__UNDEF__,+,285,383.432488
gave,VBD,__UNDEF__,+,284,382.08711
wanted,VBD,__UNDEF__,+,284,382.08711
end,NN,__UNDEF__,+,283,380.741733
All,DT,__UNDEF__,+,281,378.050979
most,RB,__UNDEF__,+,278,374.014848
upon,IN,__UNDEF__,+,276,371.324093
dwarves,NNS,__UNDEF__,+,275,369.978716
looking,VBG,__UNDEF__,+,275,369.978716
made,VBN,__UNDEF__,+,275,369.978716
told,VBD,__UNDEF__,+,274,368.633339
small,JJ,__UNDEF__,+,274,368.633339
round,NN,__UNDEF__,+,273,367.287962
those,DT,__UNDEF__,+,271,364.597208
Alice,NP,__UNDEF__,+,270,363.25183
shall,MD,__UNDEF__,+,269,361.906453
everything,PRP,__UNDEF__,+,264,355.179567
